.text,0040087B,,B16,T,4889D8,mov,mov_11,rax,rbx,1,1,N,,mov,C
.text,0040087E,,B16,T,4899,cqo,cqo_11,,,1,1,N,,cqo,C
.text,00400880,,B16,T,48F7FE,idiv,idiv_11,,rsi,1,1,N,,idiv,C
.text,00400883,,B16,T,83C001,add,add_15,eax,1,1,5,N,,add,C
.text,00400886,,B16,T,8945DC,mov,mov_41,[rbp-24h],eax,4,1,N,,mov,C
.text,00400889,,B16,T,E862FEFFFF,call,call_70,_getpagesize,,7,0,J,.CODE,call.CODE,C
.text,0040088E,,B16,T,0FAF45DC,imul,imul_14,eax,[rbp-24h],1,4,N,,imul,C
.text,00400892,,B16,T,4863C8,movsxd,movsxd_11,rcx,eax,1,1,N,,movsxd,C
.text,00400895,,B16,T,488B45E8,mov,mov_14,rax,[rbp-18h],1,4,N,,mov,C
.text,00400899,,B16,T,BA07000000,mov,mov_15,edx,7,1,5,N,,mov,C
.text,0040089E,,B16,T,4889CE,mov,mov_11,rsi,rcx,1,1,N,,mov,C
.text,004008A1,,B16,T,4889C7,mov,mov_11,rdi,rax,1,1,N,,mov,C
.text,004008A4,,B16,T,E807FEFFFF,call,call_70,_mprotect,,7,0,J,.CODE,call.CODE,C
.text,004008A9,,B16,T,83F8FF,cmp,cmp_15,eax,0FFFFFFFFh,1,5,N,,cmp,C
.text,004008AC,,B16,T,C60425BC08400075,mov,mov_25,ds:TARGET0,75h,2,5,N,_w.CODE,mov_w.CODE,C
.text,004008B4,,B16,T,C60425BD0840000F,mov,mov_25,ds:byte_4008BD,0Fh,2,5,N,_w.CODE,mov_w.CODE,C
.text,004008BC,,N,F_DATA,90,,DATA,90h,90h,0,0,X,,DATA,C
.text,004008BD,,N,F_DATA,90,,DATA,90h,90h,0,0,X,,DATA,C
.text,004008BE,,B17,T,BF380E4000,mov,mov_15,edi,offset aMprotect_0,1,5,N,_r.DATA,mov_r.DATA,C
.text,004008C3,,B17,T,B800000000,mov,mov_15,eax,0,1,5,N,,mov,C
.text,004008C8,,B17,T,E8F3FDFFFF,call,call_70,_perror,,7,0,J,.CODE,call.CODE,C
.text,004008CD,,B17,T,4883C438,add,add_15,rsp,38h,1,5,N,,add,C
.text,004008D1,,B17,T,5B,pop,pop_10,rbx,,1,0,N,,pop,C
.text,004008D2,,B17,T,5D,pop,pop_10,rbp,,1,0,N,,pop,C
.text,004008D3,,B17,T,C3,retn,retn_00,,,0,0,N,,retn,C
.text,004008D4,,B18,T,55,push,push_10,rbp,,1,0,N,,push,C
.text,004008D5,,B18,T,4889E5,mov,mov_11,rbp,rsp,1,1,N,,mov,C
.text,004008D8,,B18,T,4883EC30,sub,sub_15,rsp,30h,1,5,N,,sub,C
.text,004008DC,,B18,T,897DDC,mov,mov_41,[rbp-24h],edi,4,1,N,,mov,C
.text,004008DF,,B18,T,488975D0,mov,mov_41,[rbp-30h],rsi,4,1,N,,mov,C
.text,004008E3,,B18,T,BED4084000,mov,mov_15,esi,offset main,1,5,N,_r.CODE,mov_r.CODE,C
.text,004008E8,,B18,T,BF1E0A4000,mov,mov_15,edi,offset function_1,1,5,N,_r.CODE,mov_r.CODE,C
.text,004008ED,,B18,T,E814FFFFFF,call,call_70,makeCodeWritable,,7,0,J,.CODE,call.CODE,C
.text,004008F2,,B18,T,837DDC05,cmp,cmp_45,dword ptr [rbp-24h],5,4,5,N,,cmp,C
.text,004008F6,,B18,T,C604250609400074,mov,mov_25,ds:TARGET1,74h,2,5,N,_w.CODE,mov_w.CODE,C
.text,004008FE,,B18,T,C60425070940001E,mov,mov_25,ds:byte_400907,1Eh,2,5,N,_w.CODE,mov_w.CODE,C
.text,00400906,,N,F_DATA,90,,DATA,90h,90h,0,0,X,,DATA,C
.text,00400907,,N,F_DATA,90,,DATA,90h,90h,0,0,X,,DATA,C
.text,00400908,,B19,T,BE04000000,mov,mov_15,esi,4,1,5,N,,mov,C
.text,0040090D,,B19,T,BF480E4000,mov,mov_15,edi,offset aCallThisProgra,1,5,N,_r.DATA,mov_r.DATA,C
